,country_txt,iso3,num_attacks
0,Afghanistan,AFG,12731
1,Albania,ALB,80
2,Algeria,DZA,2743
3,Angola,AGO,499
4,Argentina,ARG,815
5,Armenia,ARM,24
6,Australia,AUS,114
7,Austria,AUT,115
8,Azerbaijan,AZE,49
9,Bahrain,BHR,207
10,Bangladesh,BGD,1648
11,Barbados,BRB,3
12,Belarus,BLR,13
13,Belgium,BEL,154
14,Benin,BEN,8
15,Bolivia,BOL,314
16,Botswana,BWA,10
17,Brazil,BRA,273
18,Brunei,BRN,6
19,Bulgaria,BGR,52
20,Burkina Faso,BFA,52
21,Burundi,BDI,613
22,Cambodia,KHM,259
23,Cameroon,CMR,332
24,Canada,CAN,96
25,Central African Republic,CAF,283
26,Chad,TCD,91
27,Chile,CHL,2365
28,China,CHN,252
29,Colombia,COL,8306
30,Costa Rica,CRI,67
31,Croatia,HRV,57
32,Cuba,CUB,30
33,Czech Republic,CZE,32
34,Democratic Republic of the Congo,COD,775
35,Denmark,DNK,41
36,Djibouti,DJI,22
37,Dominican Republic,DOM,90
38,Ecuador,ECU,220
39,Egypt,EGY,2479
40,El Salvador,SLV,5320
41,Equatorial Guinea,GNQ,2
42,Eritrea,ERI,10
43,Estonia,EST,16
44,Ethiopia,ETH,190
45,Finland,FIN,20
46,France,FRA,2693
47,Gabon,GAB,8
48,Gambia,GMB,3
49,Georgia,GEO,217
50,Germany,DEU,735
51,Ghana,GHA,19
52,Greece,GRC,1275
53,Guatemala,GTM,2050
54,Guinea,GIN,25
55,Guinea-Bissau,GNB,9
56,Guyana,GUY,26
57,Haiti,HTI,213
58,Honduras,HND,323
59,Hungary,HUN,46
60,Iceland,ISL,4
61,India,IND,11960
62,Indonesia,IDN,761
63,Iran,IRN,684
64,Iraq,IRQ,24636
65,Ireland,IRL,307
66,Israel,ISR,2183
67,Italy,ITA,1565
68,Jamaica,JAM,36
69,Japan,JPN,402
70,Jordan,JOR,113
71,Kazakhstan,KAZ,27
72,Kenya,KEN,683
73,Kuwait,KWT,76
74,Kyrgyzstan,KGZ,35
75,Laos,LAO,27
76,Latvia,LVA,17
77,Lebanon,LBN,2478
78,Lesotho,LSO,29
79,Liberia,LBR,34
80,Libya,LBY,2249
81,Lithuania,LTU,8
82,Luxembourg,LUX,16
83,Macedonia,MKD,118
84,Madagascar,MDG,27
85,Malawi,MWI,5
86,Malaysia,MYS,99
87,Mali,MLI,566
88,Mauritania,MRT,18
89,Mauritius,MUS,2
90,Mexico,MEX,524
91,Moldova,MDA,21
92,Montenegro,MNE,5
93,Morocco,MAR,36
94,Mozambique,MOZ,363
95,Myanmar,MMR,546
96,Namibia,NAM,151
97,Nepal,NPL,1215
98,Netherlands,NLD,130
99,New Zealand,NZL,20
100,Nicaragua,NIC,1970
101,Niger,NER,154
102,Nigeria,NGA,3907
103,Norway,NOR,19
104,Pakistan,PAK,14368
105,Panama,PAN,127
106,Papua New Guinea,PNG,89
107,Paraguay,PRY,114
108,Peru,PER,6096
109,Philippines,PHL,6908
110,Poland,POL,39
111,Portugal,PRT,140
112,Qatar,QAT,7
113,Romania,ROU,6
114,Russia,RUS,2194
115,Rwanda,RWA,159
116,Saudi Arabia,SAU,371
117,Senegal,SEN,118
118,Serbia,SRB,12
119,Sierra Leone,SLE,101
120,Singapore,SGP,7
121,Slovenia,SVN,6
122,Somalia,SOM,4142
123,South Africa,ZAF,2016
124,South Korea,KOR,38
125,Spain,ESP,3249
126,Sri Lanka,LKA,3022
127,Sudan,SDN,967
128,Suriname,SUR,66
129,Swaziland,SWZ,16
130,Sweden,SWE,132
131,Switzerland,CHE,111
132,Syria,SYR,2201
133,Tajikistan,TJK,188
134,Tanzania,TZA,59
135,Thailand,THA,3849
136,Togo,TGO,48
137,Trinidad and Tobago,TTO,22
138,Tunisia,TUN,109
139,Turkey,TUR,4292
140,Turkmenistan,TKM,2
141,Uganda,UGA,394
142,Ukraine,UKR,1709
143,United Arab Emirates,ARE,22
144,United Kingdom,GBR,5235
145,United States,USA,2836
146,Uruguay,URY,82
147,Uzbekistan,UZB,21
148,Venezuela,VEN,293
149,Vietnam,VNM,12
150,Yemen,YEM,3347
151,Zambia,ZMB,62
152,Zimbabwe,ZWE,101
