,country_txt,iso3,measure,region_txt
0,Afghanistan,AFG,12731,South Asia
1,Albania,ALB,80,Eastern Europe
2,Algeria,DZA,2743,Middle East & North Africa
3,Angola,AGO,499,Sub-Saharan Africa
4,Argentina,ARG,815,South America
5,Armenia,ARM,24,Central Asia
6,Australia,AUS,114,Australasia & Oceania
7,Austria,AUT,115,Western Europe
8,Azerbaijan,AZE,49,Central Asia
9,Bahrain,BHR,207,Middle East & North Africa
10,Bangladesh,BGD,1648,South Asia
11,Barbados,BRB,3,Central America & Caribbean
12,Belarus,BLR,13,Eastern Europe
13,Belgium,BEL,154,Western Europe
14,Benin,BEN,8,Sub-Saharan Africa
15,Bolivia,BOL,314,South America
16,Botswana,BWA,10,Sub-Saharan Africa
17,Brazil,BRA,273,South America
18,Brunei,BRN,6,Southeast Asia
19,Bulgaria,BGR,52,Eastern Europe
20,Burkina Faso,BFA,52,Sub-Saharan Africa
21,Burundi,BDI,613,Sub-Saharan Africa
22,Cambodia,KHM,259,Southeast Asia
23,Cameroon,CMR,332,Sub-Saharan Africa
24,Canada,CAN,96,North America
25,Central African Republic,CAF,283,Sub-Saharan Africa
26,Chad,TCD,91,Sub-Saharan Africa
27,Chile,CHL,2365,South America
28,China,CHN,252,East Asia
29,Colombia,COL,8306,South America
30,Costa Rica,CRI,67,Central America & Caribbean
31,Croatia,HRV,57,Eastern Europe
32,Cuba,CUB,30,Central America & Caribbean
33,Czech Republic,CZE,32,Eastern Europe
34,Democratic Republic of the Congo,COD,775,Sub-Saharan Africa
35,Denmark,DNK,41,Western Europe
36,Djibouti,DJI,22,Sub-Saharan Africa
37,Dominican Republic,DOM,90,Central America & Caribbean
38,Ecuador,ECU,220,South America
39,Egypt,EGY,2479,Middle East & North Africa
40,El Salvador,SLV,5320,Central America & Caribbean
41,Equatorial Guinea,GNQ,2,Sub-Saharan Africa
42,Eritrea,ERI,10,Sub-Saharan Africa
43,Estonia,EST,16,Eastern Europe
44,Ethiopia,ETH,190,Sub-Saharan Africa
45,Finland,FIN,20,Western Europe
46,France,FRA,2693,Western Europe
47,Gabon,GAB,8,Sub-Saharan Africa
48,Gambia,GMB,3,Sub-Saharan Africa
49,Georgia,GEO,217,Central Asia
50,Germany,DEU,735,Western Europe
51,Ghana,GHA,19,Sub-Saharan Africa
52,Greece,GRC,1275,Western Europe
53,Guatemala,GTM,2050,Central America & Caribbean
54,Guinea,GIN,25,Sub-Saharan Africa
55,Guinea-Bissau,GNB,9,Sub-Saharan Africa
56,Guyana,GUY,26,South America
57,Haiti,HTI,213,Central America & Caribbean
58,Honduras,HND,323,Central America & Caribbean
59,Hungary,HUN,46,Eastern Europe
60,Iceland,ISL,4,Western Europe
61,India,IND,11960,South Asia
62,Indonesia,IDN,761,Southeast Asia
63,Iran,IRN,684,Middle East & North Africa
64,Iraq,IRQ,24636,Middle East & North Africa
65,Ireland,IRL,307,Western Europe
66,Israel,ISR,2183,Middle East & North Africa
67,Italy,ITA,1565,Western Europe
68,Jamaica,JAM,36,Central America & Caribbean
69,Japan,JPN,402,East Asia
70,Jordan,JOR,113,Middle East & North Africa
71,Kazakhstan,KAZ,27,Central Asia
72,Kenya,KEN,683,Sub-Saharan Africa
73,Kuwait,KWT,76,Middle East & North Africa
74,Kyrgyzstan,KGZ,35,Central Asia
75,Laos,LAO,27,Southeast Asia
76,Latvia,LVA,17,Eastern Europe
77,Lebanon,LBN,2478,Middle East & North Africa
78,Lesotho,LSO,29,Sub-Saharan Africa
79,Liberia,LBR,34,Sub-Saharan Africa
80,Libya,LBY,2249,Middle East & North Africa
81,Lithuania,LTU,8,Eastern Europe
82,Luxembourg,LUX,16,Western Europe
83,Macedonia,MKD,118,Eastern Europe
84,Madagascar,MDG,27,Sub-Saharan Africa
85,Malawi,MWI,5,Sub-Saharan Africa
86,Malaysia,MYS,99,Southeast Asia
87,Mali,MLI,566,Sub-Saharan Africa
88,Mauritania,MRT,18,Sub-Saharan Africa
89,Mauritius,MUS,2,South Asia
90,Mexico,MEX,524,North America
91,Moldova,MDA,21,Eastern Europe
92,Montenegro,MNE,5,Eastern Europe
93,Morocco,MAR,36,Middle East & North Africa
94,Mozambique,MOZ,363,Sub-Saharan Africa
95,Myanmar,MMR,546,Southeast Asia
96,Namibia,NAM,151,Sub-Saharan Africa
97,Nepal,NPL,1215,South Asia
98,Netherlands,NLD,130,Western Europe
99,New Zealand,NZL,20,Australasia & Oceania
100,Nicaragua,NIC,1970,Central America & Caribbean
101,Niger,NER,154,Sub-Saharan Africa
102,Nigeria,NGA,3907,Sub-Saharan Africa
103,Norway,NOR,19,Western Europe
104,Pakistan,PAK,14368,South Asia
105,Panama,PAN,127,Central America & Caribbean
106,Papua New Guinea,PNG,89,Australasia & Oceania
107,Paraguay,PRY,114,South America
108,Peru,PER,6096,South America
109,Philippines,PHL,6908,Southeast Asia
110,Poland,POL,39,Eastern Europe
111,Portugal,PRT,140,Western Europe
112,Qatar,QAT,7,Middle East & North Africa
113,Romania,ROU,6,Eastern Europe
114,Russia,RUS,2194,Eastern Europe
115,Rwanda,RWA,159,Sub-Saharan Africa
116,Saudi Arabia,SAU,371,Middle East & North Africa
117,Senegal,SEN,118,Sub-Saharan Africa
118,Serbia,SRB,12,Eastern Europe
119,Sierra Leone,SLE,101,Sub-Saharan Africa
120,Singapore,SGP,7,Southeast Asia
121,Slovenia,SVN,6,Eastern Europe
122,Somalia,SOM,4142,Sub-Saharan Africa
123,South Africa,ZAF,2016,Sub-Saharan Africa
124,South Korea,KOR,38,East Asia
125,Spain,ESP,3249,Western Europe
126,Sri Lanka,LKA,3022,South Asia
127,Sudan,SDN,967,Sub-Saharan Africa
128,Suriname,SUR,66,South America
129,Swaziland,SWZ,16,Sub-Saharan Africa
130,Sweden,SWE,132,Western Europe
131,Switzerland,CHE,111,Western Europe
132,Syria,SYR,2201,Middle East & North Africa
133,Tajikistan,TJK,188,Central Asia
134,Tanzania,TZA,59,Sub-Saharan Africa
135,Thailand,THA,3849,Southeast Asia
136,Togo,TGO,48,Sub-Saharan Africa
137,Trinidad and Tobago,TTO,22,Central America & Caribbean
138,Tunisia,TUN,109,Middle East & North Africa
139,Turkey,TUR,4292,Middle East & North Africa
140,Turkmenistan,TKM,2,Central Asia
141,Uganda,UGA,394,Sub-Saharan Africa
142,Ukraine,UKR,1709,Eastern Europe
143,United Arab Emirates,ARE,22,Middle East & North Africa
144,United Kingdom,GBR,5235,Western Europe
145,United States,USA,2836,North America
146,Uruguay,URY,82,South America
147,Uzbekistan,UZB,21,Central Asia
148,Venezuela,VEN,293,South America
149,Vietnam,VNM,12,Southeast Asia
150,Yemen,YEM,3347,Middle East & North Africa
151,Zambia,ZMB,62,Sub-Saharan Africa
152,Zimbabwe,ZWE,101,Sub-Saharan Africa
