"","year","Australasia & Oceania","Central America & Caribbean","East Asia","Eastern Europe","Middle East & North Africa","North America","South America","South Asia","Southeast Asia","Sub-Saharan Africa","Western Europe","Central Asia"
"1",1970,1,7,2,12,28,472,65,1,10,3,50,0
"2",1971,1,5,1,5,55,247,24,0,6,2,125,0
"3",1972,8,3,0,1,53,73,33,1,16,4,376,0
"4",1973,1,6,2,1,19,64,83,1,2,4,290,0
"5",1974,1,11,4,2,42,111,81,2,3,7,317,0
"6",1975,0,9,12,0,44,159,55,4,7,12,438,0
"7",1976,0,45,2,0,55,125,91,4,12,11,578,0
"8",1977,0,24,4,2,211,149,119,2,8,29,771,0
"9",1978,2,199,35,2,128,117,222,2,44,46,729,0
"10",1979,2,609,16,1,455,79,236,34,86,124,1020,0
"11",1980,7,1070,1,1,437,75,319,12,87,58,595,0
"12",1981,3,1148,4,4,312,77,383,23,50,98,484,0
"13",1982,2,996,3,3,290,86,639,20,43,60,402,0
"14",1983,0,858,13,2,334,47,950,63,22,106,475,0
"15",1984,11,681,15,4,268,67,1492,244,46,126,541,0
"16",1985,7,780,10,5,133,44,1040,161,128,141,466,0
"17",1986,4,393,12,3,196,53,1184,273,102,185,455,0
"18",1987,3,566,10,1,202,35,1265,348,163,174,416,0
"19",1988,12,495,24,4,246,30,1041,801,242,337,489,0
"20",1989,29,503,18,16,465,44,1385,926,203,291,444,0
"21",1990,18,316,99,58,494,37,1076,601,348,450,390,0
"22",1991,10,729,29,84,612,40,1322,677,206,271,696,7
"23",1992,17,212,74,91,1192,41,1204,545,279,570,769,77
"24",1994,14,180,34,95,1051,101,373,376,151,432,584,65
"25",1995,18,168,38,68,590,94,255,1051,168,239,337,55
"26",1996,19,116,89,175,373,111,517,739,193,217,476,33
"27",1997,7,117,40,248,548,137,774,490,159,279,349,49
"28",1998,6,1,9,105,247,37,108,136,32,87,141,25
"29",1999,4,8,4,138,316,56,134,225,107,143,236,24
"30",2000,6,14,19,234,272,41,150,357,256,191,253,21
"31",2001,4,8,19,252,362,48,229,385,185,162,234,18
"32",2002,2,3,4,112,326,33,162,334,110,121,120,6
"33",2003,4,8,6,100,310,34,117,353,145,73,121,7
"34",2004,0,5,4,46,492,12,42,369,95,34,59,8
"35",2005,0,3,2,76,882,22,49,604,204,60,104,11
"36",2006,2,5,1,70,1187,15,50,938,272,114,98,6
"37",2007,1,4,0,62,1385,18,47,982,365,302,72,4
"38",2008,8,0,25,209,1536,31,144,1759,514,380,163,36
"39",2009,1,9,8,165,1361,16,159,1945,561,283,182,31
"40",2010,1,1,1,261,1463,24,148,1981,473,331,133,9
"41",2011,0,1,4,198,1663,12,106,2138,356,494,95,9
"42",2012,0,1,4,173,2409,39,133,3803,587,1168,193,12
"43",2013,1,14,15,165,4560,32,182,4612,1188,999,261,7
"44",2014,9,5,43,962,6939,37,283,4998,1082,2321,215,9
"45",2015,14,1,28,684,6036,62,176,4585,1072,1964,333,10
"46",2016,10,3,8,134,6115,75,159,3639,1077,2077,273,17
"47",2017,12,4,7,110,3780,97,172,3430,1020,1970,291,7
